Company_ID,Domain,Founding_Year,Country,City,Funding_Stage,Total_Funding_USD_Millions,Valuation_USD_Millions,Revenue_ARR_Millions,Monthly_Burn_Rate_Millions,Runway_Months_2024,Peak_Headcount_2023,Layoffs_2024_2025,Current_Headcount_2026,Investor_Tier,AI_Adoption_Level,Acquisition_Status,Valuation_Multiple,Burn_Multiple,Layoff_Ratio,Runway_Health
56738C23,FinTech,2018,India,Delhi NCR,Series A,20.92,111.57,4.03,2.59,7.8,162,68,94,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,27.6848635235732,7.71,0.4198,Moderado (6-18m)
1DAC6C17,Generative AI,2020,India,Delhi NCR,Seed,1.93,28.1,1.28,0.61,2.7,40,28,12,Tier 2 (Mid-size VC),Medium,Closed,21.953125,5.72,0.7,Crítico (< 6m)
B81533B6,Web3/Crypto,2020,USA,Seattle,Pre-IPO,116.2,895.08,71.9,2.67,41.9,182,68,114,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent,12.448956884561891,0.45,0.3736,Saludable (> 18m)
5C40C7E2,Cybersecurity,2020,India,Mumbai,Seed,1.8,26.41,3.73,0.62,2.5,46,18,28,Tier 3 (Angel/Seed),High,Independent,7.080428954423593,1.99,0.3913,Crítico (< 6m)
D886E70C,Web3/Crypto,2019,USA,Miami,Series A,26.13,178.5,8.16,1.2,20.1,94,53,41,"Tier 1 (e.g. Sequoia, a16z)",Medium,Closed,21.875,1.76,0.5638,Saludable (> 18m)
09F40238,Autonomous Vehicles,2018,Canada,Toronto,Series A,28.13,282.45,29.63,1.7,15.6,123,0,123,Corporate VC (e.g. Google Ventures),High,Independent,9.532568342895713,0.69,0.0,Moderado (6-18m)
4CC78B5F,FinTech,2023,UK,London,Series C+,354.84,3608.07,134.59,13.6,25.9,841,0,841,Tier 3 (Angel/Seed),Low,Independent,26.80786091091463,1.21,0.0,Saludable (> 18m)
6783B906,Web3/Crypto,2014,India,Mumbai,Post-IPO,1540.3,5151.41,345.01,56.31,27.3,4421,2514,1907,Tier 3 (Angel/Seed),Medium,Closed,14.931190400278252,1.96,0.5686,Saludable (> 18m)
2069B10C,Generative AI,2023,China,Shenzhen,Seed,6.25,77.29,7.18,0.32,14.9,24,0,24,Tier 3 (Angel/Seed),High,Closed,10.764623955431755,0.53,0.0,Moderado (6-18m)
C245BA5C,Generative AI,2018,USA,San Francisco,Series B,53.95,186.63,16.09,7.71,6.9,401,172,229,Tier 3 (Angel/Seed),Medium,Independent,11.599129894344314,5.75,0.4289,Moderado (6-18m)
83C88D10,Generative AI,2020,USA,New York,Series A,9.94,39.88,2.5,0.6,14.2,54,11,43,Tier 2 (Mid-size VC),High,Independent,15.952000000000002,2.88,0.2037,Moderado (6-18m)
0011653A,SpaceTech,2015,USA,San Francisco,Seed,36.12,382.15,16.02,3.58,9.8,212,101,111,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,23.854556803995006,2.68,0.4764,Moderado (6-18m)
3E6986C9,HealthTech,2014,USA,Boston,Series A,0.0,8.81,1.01,0.52,0.0,42,26,16,Bootstrapped,Low,Closed,8.722772277227723,6.18,0.619,Crítico (< 6m)
72871B9E,Robotics,2019,USA,Austin,Post-IPO,972.96,6916.41,260.92,27.95,34.7,2529,502,2027,Tier 2 (Mid-size VC),High,Independent,26.507780162501913,1.29,0.1985,Saludable (> 18m)
068653A0,EdTech,2021,India,Hyderabad,Series A,11.69,80.77,6.86,0.71,14.4,52,0,52,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,11.77405247813411,1.24,0.0,Moderado (6-18m)
15646930,HealthTech,2018,USA,Miami,Seed,2.2,35.44,2.62,0.18,7.9,10,5,5,Tier 2 (Mid-size VC),Medium,Closed,13.526717557251906,0.82,0.5,Moderado (6-18m)
AFCBA60C,Robotics,2020,Israel,Jerusalem,Series C+,56.82,392.8,54.29,2.94,18.7,184,0,184,Corporate VC (e.g. Google Ventures),High,Closed,7.235218272241665,0.65,0.0,Saludable (> 18m)
07A4B541,FinTech,2018,USA,New York,Series C+,28.5,238.38,8.72,1.79,15.1,90,21,69,Tier 2 (Mid-size VC),Medium,Independent,27.33715596330275,2.46,0.2333,Moderado (6-18m)
C9322C05,Generative AI,2019,Singapore,Singapore,Seed,5.66,70.98,3.64,0.4,11.3,35,0,35,Tier 3 (Angel/Seed),High,Independent,19.5,1.32,0.0,Moderado (6-18m)
957638A8,Cybersecurity,2022,Japan,Kyoto,Seed,7.41,58.73,9.44,0.38,15.4,27,0,27,Tier 3 (Angel/Seed),High,Independent,6.221398305084746,0.48,0.0,Moderado (6-18m)
09A10FFF,Generative AI,2022,USA,New York,Series B,0.0,36.44,3.05,0.87,0.0,44,18,26,Bootstrapped,High,Independent,11.947540983606558,3.42,0.4091,Crítico (< 6m)
38D03B6B,Web3/Crypto,2020,Japan,Kyoto,Seed,3.09,47.46,5.2,0.56,4.7,37,27,10,"Tier 1 (e.g. Sequoia, a16z)",High,Closed,9.126923076923077,1.29,0.7297,Crítico (< 6m)
F655570D,Cybersecurity,2017,Canada,Montreal,Series A,1.4,28.35,1.49,0.5,2.3,32,0,32,Tier 3 (Angel/Seed),Medium,Independent,19.026845637583893,4.03,0.0,Crítico (< 6m)
551EF6BD,Generative AI,2016,USA,Miami,Seed,0.0,16.52,2.52,0.15,0.0,11,0,11,Bootstrapped,Medium,Independent,6.555555555555555,0.71,0.0,Crítico (< 6m)
1850E12C,Generative AI,2023,France,Paris,Seed,5.89,74.93,4.09,0.47,10.3,27,0,27,Tier 2 (Mid-size VC),High,Acquired,18.32029339853301,1.38,0.0,Moderado (6-18m)
0E19EA22,Cybersecurity,2017,USA,Seattle,Seed,1.92,24.24,0.84,0.37,4.1,33,0,33,Tier 2 (Mid-size VC),High,Independent,28.857142857142858,5.29,0.0,Crítico (< 6m)
F4885E97,ClimateTech,2021,USA,Miami,Series B,29.42,131.25,6.71,2.78,10.2,144,85,59,"Tier 1 (e.g. Sequoia, a16z)",Medium,Closed,19.560357675111774,4.97,0.5903,Moderado (6-18m)
A6C7BDC4,Cybersecurity,2019,China,Shanghai,Seed,0.89,18.27,1.9,0.8,1.0,45,0,45,Tier 3 (Angel/Seed),Low,Acquired,9.615789473684211,5.05,0.0,Crítico (< 6m)
F4A88378,Cybersecurity,2024,USA,Seattle,Series C+,56.76,337.19,14.19,1.21,43.3,71,0,71,Tier 2 (Mid-size VC),Medium,Independent,23.76250880902044,1.02,0.0,Saludable (> 18m)
D4AE20B8,Generative AI,2019,USA,Miami,Post-IPO,1385.92,14808.34,1553.22,64.43,21.5,3294,0,3294,Tier 3 (Angel/Seed),High,Independent,9.533961705360477,0.5,0.0,Saludable (> 18m)
4FA01BF2,HealthTech,2019,Singapore,Singapore,Seed,1.45,24.74,3.5,0.9,1.4,49,0,49,Tier 3 (Angel/Seed),Medium,Independent,7.0685714285714285,3.09,0.0,Crítico (< 6m)
54993609,Generative AI,2020,Japan,Tokyo,Series A,12.52,55.48,2.53,1.21,9.6,72,0,72,Tier 3 (Angel/Seed),High,Independent,21.92885375494071,5.74,0.0,Moderado (6-18m)
03282ECC,EdTech,2023,Germany,Munich,Seed,0.34,9.12,0.32,0.32,0.8,16,0,16,Tier 3 (Angel/Seed),Low,Independent,28.499999999999996,12.0,0.0,Crítico (< 6m)
CC0988E7,ClimateTech,2024,China,Hangzhou,Series A,0.0,1.73,0.09,0.6,0.0,32,15,17,Bootstrapped,High,Closed,19.22222222222222,80.0,0.4688,Crítico (< 6m)
093BB78D,SpaceTech,2021,Israel,Jerusalem,Seed,3.39,30.1,4.78,0.4,6.8,27,0,27,Tier 3 (Angel/Seed),High,Independent,6.297071129707113,1.0,0.0,Moderado (6-18m)
D829A13B,Generative AI,2021,USA,Miami,Series A,11.75,148.17,5.64,0.69,14.9,43,0,43,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,26.27127659574468,1.47,0.0,Moderado (6-18m)
AF7C535D,SpaceTech,2020,France,Paris,Seed,5.02,23.1,4.55,0.33,11.7,18,0,18,Tier 2 (Mid-size VC),Medium,Closed,5.0769230769230775,0.87,0.0,Moderado (6-18m)
2953C973,SpaceTech,2021,USA,Miami,Seed,5.18,27.92,5.32,0.39,10.6,33,11,22,Tier 3 (Angel/Seed),Medium,Independent,5.2481203007518795,0.88,0.3333,Moderado (6-18m)
A2267264,Cybersecurity,2022,Canada,Vancouver,Series B,12.39,79.9,15.85,0.67,16.1,44,16,28,Tier 3 (Angel/Seed),Medium,Independent,5.041009463722398,0.51,0.3636,Moderado (6-18m)
20C6131E,ClimateTech,2019,UK,London,Seed,0.53,16.59,0.7,0.17,2.0,14,6,8,Tier 3 (Angel/Seed),High,Closed,23.700000000000003,2.91,0.4286,Crítico (< 6m)
7922EED3,Autonomous Vehicles,2020,Singapore,Singapore,Seed,2.81,39.58,2.59,0.52,4.5,40,16,24,Corporate VC (e.g. Google Ventures),High,Independent,15.281853281853282,2.41,0.4,Crítico (< 6m)
D4968404,HealthTech,2020,Canada,Toronto,Seed,0.99,12.7,0.45,0.56,1.5,39,0,39,Tier 3 (Angel/Seed),High,Closed,28.22222222222222,14.93,0.0,Crítico (< 6m)
90B9E6F4,Generative AI,2020,Israel,Jerusalem,Seed,1.11,21.91,1.15,0.44,2.1,33,0,33,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,19.05217391304348,4.59,0.0,Crítico (< 6m)
222DCB3F,ClimateTech,2022,UK,Cambridge,Series B,0.0,46.92,2.5,0.4,0.0,23,0,23,Bootstrapped,High,Independent,18.768,1.92,0.0,Crítico (< 6m)
7F757D38,Cybersecurity,2019,Canada,Vancouver,Seed,1.36,29.07,1.2,0.18,4.9,12,0,12,Tier 3 (Angel/Seed),High,Closed,24.225,1.8,0.0,Crítico (< 6m)
79B79B1D,FinTech,2017,India,Bengaluru,Series A,13.31,135.17,9.11,0.42,25.6,41,0,41,"Tier 1 (e.g. Sequoia, a16z)",Low,Closed,14.83754116355653,0.55,0.0,Saludable (> 18m)
AC552CC2,Cybersecurity,2019,USA,New York,Pre-IPO,68.72,514.52,70.76,2.38,27.7,158,0,158,Tier 3 (Angel/Seed),Medium,Closed,7.2713397399660815,0.4,0.0,Saludable (> 18m)
AF86A457,HealthTech,2017,UK,Oxford,Series A,7.66,61.49,2.49,1.13,6.2,59,27,32,Tier 3 (Angel/Seed),Low,Independent,24.694779116465863,5.45,0.4576,Moderado (6-18m)
DB5CCB63,FinTech,2019,USA,Miami,Series A,10.69,78.83,2.99,0.74,12.7,45,0,45,Tier 3 (Angel/Seed),Low,Acquired,26.364548494983275,2.97,0.0,Moderado (6-18m)
7DDB907F,HealthTech,2022,Canada,Vancouver,Series A,0.0,46.06,1.55,0.81,0.0,46,0,46,Bootstrapped,Medium,Independent,29.716129032258067,6.27,0.0,Crítico (< 6m)
A54E30D7,Generative AI,2020,USA,New York,Series A,28.24,303.4,10.72,1.7,15.7,101,0,101,Tier 2 (Mid-size VC),High,Independent,28.302238805970145,1.9,0.0,Moderado (6-18m)
14F6A870,Generative AI,2022,Japan,Kyoto,Post-IPO,3604.28,32720.77,3557.81,139.57,25.8,12678,0,12678,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent,9.196885162501651,0.47,0.0,Saludable (> 18m)
1AE5232A,Generative AI,2016,USA,Boston,Seed,2.78,31.99,1.1,0.29,7.1,16,8,8,Corporate VC (e.g. Google Ventures),High,Independent,29.08181818181818,3.16,0.5,Moderado (6-18m)
B30DC77B,ClimateTech,2022,USA,Miami,Pre-IPO,41.7,214.09,11.3,3.35,12.1,174,55,119,Tier 2 (Mid-size VC),Low,Closed,18.946017699115043,3.56,0.3161,Moderado (6-18m)
4F0F29C2,SpaceTech,2020,France,Lyon,Seed,6.26,80.07,6.02,0.2,20.9,16,0,16,Tier 3 (Angel/Seed),High,Closed,13.300664451827242,0.4,0.0,Saludable (> 18m)
BBFDBDA6,FinTech,2013,USA,New York,Seed,3.42,43.48,4.27,0.39,7.0,36,0,36,Tier 2 (Mid-size VC),High,Acquired,10.182669789227166,1.1,0.0,Moderado (6-18m)
8AA87726,Autonomous Vehicles,2020,China,Shenzhen,Series B,7.46,99.92,3.51,0.85,7.9,49,27,22,Corporate VC (e.g. Google Ventures),High,Acquired (Fire Sale),28.467236467236468,2.91,0.551,Moderado (6-18m)
BAA1AFA1,Robotics,2023,India,Mumbai,Seed,1.06,20.5,3.76,0.08,5.9,7,2,5,Corporate VC (e.g. Google Ventures),High,Independent,5.452127659574469,0.26,0.2857,Crítico (< 6m)
35204593,HealthTech,2014,USA,New York,Series A,3.33,47.18,3.81,0.39,6.8,26,0,26,Tier 2 (Mid-size VC),Low,Independent,12.383202099737533,1.23,0.0,Moderado (6-18m)
4716EE73,Cybersecurity,2020,China,Shenzhen,Series B,11.1,107.8,7.28,1.02,9.9,70,0,70,Tier 2 (Mid-size VC),Medium,Independent,14.807692307692307,1.68,0.0,Moderado (6-18m)
999380CB,Robotics,2022,India,Hyderabad,Series A,5.87,62.12,2.5,0.88,6.0,50,0,50,Corporate VC (e.g. Google Ventures),High,Independent,24.848,4.22,0.0,Moderado (6-18m)
692490D0,Generative AI,2012,Singapore,Singapore,Seed,7.68,33.58,2.37,0.28,20.2,24,0,24,Tier 3 (Angel/Seed),High,Independent,14.168776371308015,1.42,0.0,Saludable (> 18m)
D6B9B71B,Robotics,2020,USA,Austin,Seed,3.98,35.66,1.35,0.27,10.8,26,0,26,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,26.41481481481481,2.4,0.0,Moderado (6-18m)
01D20AC5,Generative AI,2019,USA,New York,Seed,4.09,51.93,4.37,0.2,13.6,15,0,15,Tier 2 (Mid-size VC),Medium,Independent,11.883295194508008,0.55,0.0,Moderado (6-18m)
D7F8365E,Web3/Crypto,2018,China,Shanghai,Pre-IPO,1069.52,9108.4,603.31,23.59,45.1,1657,0,1657,Tier 3 (Angel/Seed),High,Independent,15.09737945666407,0.47,0.0,Saludable (> 18m)
7528DD38,Cybersecurity,2020,USA,Seattle,Series B,6.46,48.91,6.6,0.63,8.8,57,23,34,Corporate VC (e.g. Google Ventures),Medium,Closed,7.41060606060606,1.15,0.4035,Moderado (6-18m)
08DC94BD,ClimateTech,2014,USA,Boston,Post-IPO,193.32,2080.54,224.57,12.92,14.8,724,249,475,Tier 2 (Mid-size VC),High,Independent,9.264550028944205,0.69,0.3439,Moderado (6-18m)
706A91F7,Autonomous Vehicles,2021,USA,San Francisco,Series C+,53.02,453.73,22.88,3.58,14.4,188,0,188,Tier 3 (Angel/Seed),Medium,Closed,19.830856643356643,1.88,0.0,Moderado (6-18m)
AE13023F,Cybersecurity,2012,China,Beijing,Series A,9.5,115.39,20.72,0.91,9.4,49,0,49,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent,5.569015444015444,0.53,0.0,Moderado (6-18m)
C7EA8121,Generative AI,2018,Israel,Tel Aviv,Series C+,123.93,1046.67,60.22,7.88,15.5,645,130,515,Tier 3 (Angel/Seed),Low,Independent,17.380770508136834,1.57,0.2016,Moderado (6-18m)
0FDAFED6,Autonomous Vehicles,2020,USA,New York,Series B,36.5,331.43,11.93,1.84,18.8,173,40,133,Tier 3 (Angel/Seed),High,Independent,27.781223805532274,1.85,0.2312,Saludable (> 18m)
683CE85F,FinTech,2019,USA,Miami,Series A,6.01,76.58,3.59,0.7,7.5,38,19,19,"Tier 1 (e.g. Sequoia, a16z)",High,Acquired,21.331476323119777,2.34,0.5,Moderado (6-18m)
16BD2DEB,Cybersecurity,2018,UK,London,Series A,25.21,276.88,17.28,2.07,11.6,120,0,120,Tier 2 (Mid-size VC),Low,Independent,16.023148148148145,1.44,0.0,Moderado (6-18m)
D445E1E4,Autonomous Vehicles,2021,USA,Miami,Series B,8.8,70.17,11.93,0.85,9.3,52,0,52,Tier 3 (Angel/Seed),Low,Independent,5.881810561609388,0.85,0.0,Moderado (6-18m)
B0454B75,SpaceTech,2023,UK,Cambridge,Series A,8.43,44.87,2.46,1.01,7.6,65,36,29,Tier 2 (Mid-size VC),Medium,Acquired (Fire Sale),18.239837398373982,4.93,0.5538,Moderado (6-18m)
3DE0403F,Generative AI,2022,USA,Seattle,Series B,136.24,1383.76,89.19,10.59,12.7,590,112,478,Tier 3 (Angel/Seed),High,Closed,15.514743805359345,1.42,0.1898,Moderado (6-18m)
2FF85461,Robotics,2020,USA,San Francisco,Series A,16.1,162.45,9.39,1.28,11.7,74,0,74,Tier 3 (Angel/Seed),High,Independent,17.300319488817888,1.64,0.0,Moderado (6-18m)
B8C4E956,HealthTech,2022,USA,Boston,Series B,16.92,202.63,9.02,1.19,13.1,66,0,66,Tier 3 (Angel/Seed),Medium,Closed,22.464523281596453,1.58,0.0,Moderado (6-18m)
BABEF0C3,Cybersecurity,2023,USA,Boston,Seed,3.3,36.77,3.13,0.38,6.9,23,0,23,Tier 2 (Mid-size VC),High,Independent,11.747603833865815,1.46,0.0,Moderado (6-18m)
4B531EBD,EdTech,2019,Canada,Montreal,Series B,8.84,91.67,5.3,0.25,25.3,20,0,20,Tier 3 (Angel/Seed),High,Acquired,17.296226415094342,0.57,0.0,Saludable (> 18m)
5C2187D9,Generative AI,2018,France,Lyon,Series B,11.91,110.58,16.12,0.93,11.6,49,0,49,Tier 3 (Angel/Seed),High,Closed,6.859801488833746,0.69,0.0,Moderado (6-18m)
